O3	O3	Temperature	Temperature	CO	CO	CO2	CO2
51064984	0.16	23.12	23.6	455.03	5.6	2.66	396.67
750.42	0.05	27.64	23.61	469.59	5.38	2.57	396.82
1949.47	0.08	22.8	23.62	469.59	5.5	2.57	396.72
688.75	0.09	23.77	23.52	475.25	5.42	2.27	396.67
51064984	0.13	31.51	23.54	458.6	5.53	2.27	396.77
51064984	0.09	20.54	23.55	471.46	5.56	2.27	396.67
51064984	0.11	31.83	23.61	456.81	5.71	2.27	396.67
51064984	0.11	24.41	23.55	473.35	5.6	2.27	396.92
823.83	0.08	23.12	23.51	458.6	5.56	2.34	396.72
51064984	0.09	22.16	23.59	482.97	5.52	2.27	396.87
51064984	0.15	23.77	23.51	499.05	5.45	2.26	396.97
51064984	0.13	23.77	23.6	505.32	5.28	2.28	396.82
51064984	0.17	23.77	23.5	511.71	5.23	2.27	397.02
51064984	0.11	34.41	23.5	513.87	5.59	2.46	396.82
51064984	0.12	24.74	23.53	520.45	5.41	2.26	396.72
51064984	0.14	22.16	23.52	522.68	5.39	2.44	396.87
1343.36	0.14	34.09	23.47	527.17	5.41	2.29	396.67
51064984	0.1	24.74	23.55	481.02	5.36	2.26	396.82
912.7	0.13	25.7	23.55	465.88	5.58	2.27	397.07
51064984	0	22.8	23.56	490.9	5.75	2.26	397.07
51064984	0.07	22.48	23.54	490.9	5.62	2.28	396.77
51064984	0.22	22.48	23.55	509.57	5.6	2.27	397.07
51064984	0.11	25.7	23.78	490.9	5.67	2.26	396.77
51064984	0.17	27.32	23.82	501.13	5.52	2.28	397.07
51064984	0.14	20.87	23.86	507.43	5.63	2.28	397.07
51064984	0.13	22.16	23.7	511.71	5.48	2.27	397.02
51064984	0.14	28.93	23.55	505.32	5.57	2.27	396.97
51064984	0.16	28.29	23.54	503.21	5.6	2.28	396.97
1591.32	0.11	23.77	23.46	507.43	5.62	2.49	396.77
51064984	0.03	24.74	23.44	464.04	5.56	2.28	396.97
51064984	0.14	24.09	23.53	486.91	5.58	2.7	396.82
912.7	0.09	23.77	23.55	496.99	5.4	2.3	422.16
51064984	0.16	24.09	23.65	490.9	5.62	2.26	397.02
51064984	0.11	24.41	23.71	471.46	5.63	2.53	397.07
636.22	0.13	24.09	23.75	503.21	5.43	2.27	397.02
8842.91	0.1	23.77	23.82	488.9	5.54	2.28	397.02
1591.32	0.06	22.8	23.84	505.32	5.51	2.25	397.12
51064984	0.12	21.51	23.9	496.99	5.62	2.41	397.12
51064984	0.12	25.7	23.85	496.99	5.54	2.27	422.16
51064984	0.19	22.8	23.89	507.43	5.51	2.71	422.21
51064984	0.2	21.83	23.95	509.57	5.33	2.27	422.21
51064984	0.08	28.29	24.02	511.71	5.31	2.4	422.21
51064984	0.18	22.16	24.1	464.04	5.52	2.27	397.07
51064984	0.11	23.77	24.07	492.92	5.36	2.28	397.07
51064984	0.1	21.51	23.94	494.95	5.59	2.25	422.21
51064984	0.09	25.06	24.03	451.5	5.55	2.27	422.21
3525.28	0.12	22.48	24.17	455.03	5.56	2.27	397.07
51064984	0.09	34.09	24.12	473.35	5.54	2.69	397.07
912.7	0.09	33.77	24.09	479.08	5.38	2.27	422.16
51064984	0.08	29.25	24.07	481.02	5.61	2.25	422.21
51064984	0.07	21.51	24.02	488.9	5.57	2.26	422.21
51064984	0.11	22.16	24.12	492.92	5.45	2.25	422.21
51064984	0.13	22.48	24.02	499.05	5.59	2.27	422.11
51064984	0.12	25.06	24.04	507.43	5.54	2.27	422.21
51064984	0.25	31.51	24.12	503.21	5.5	2.25	422.21
51064984	0.19	21.51	24.2	473.35	5.43	2.33	397.12
51064984	0.14	23.77	24.17	505.32	5.36	2.28	422.21
4411.63	0.06	23.45	24.07	511.71	5.45	2.29	422.21
1022.48	0.17	22.16	24.04	513.87	5.53	2.46	422.16
51064984	0.12	21.51	23.98	522.68	5.51	2.33	422.16
51064984	0.08	21.83	24.04	518.24	5.59	2.27	422.06
51064984	0.07	31.51	23.95	503.21	5.46	2.26	447.45
51064984	0.14	22.16	23.97	499.05	5.58	2.54	422.21
51064984	0	20.54	23.96	516.05	5.62	2.26	422.16
51064984	0.14	22.16	23.96	488.9	5.62	2.49	422.16
51064984	0.14	21.51	24.04	507.43	5.25	2.28	422.21
51064984	0.09	31.19	24.12	501.13	5.36	2.28	422.21
51064984	0.14	23.77	24	507.43	5.54	2.69	397.07
1591.32	0.07	23.45	24.04	499.05	5.5	2.26	422.21
51064984	0.04	20.54	24.04	496.99	5.55	2.28	422.26
51064984	0.04	22.16	24.02	490.9	5.6	2.28	422.16
5888.81	0.11	23.77	24	501.13	5.53	2.28	422.21
51064984	0.07	22.16	23.98	499.05	5.5	2.28	422.21
612.77	0.14	23.45	24.05	494.95	5.44	2.28	422.26
51064984	0.11	20.87	24.04	471.46	5.45	2.29	422.26
51064984	0.02	20.87	24.04	488.9	5.6	2.29	422.21
51064984	0.15	27.64	24.19	484.93	5.57	2.29	397.07
51064984	0.06	34.09	24.32	490.9	5.45	2.29	397.07
1087.66	0.16	24.74	24.19	455.03	5.32	2.29	397.07
51064984	0.06	25.06	24.1	496.99	5.48	2.29	397.07
51064984	0.05	22.48	24.12	496.99	5.34	2.27	396.97
1457.01	0.14	21.19	24.04	507.43	5.37	2.29	397.02
51064984	0.17	21.51	23.96	496.99	5.39	2.29	422.16
51064984	0.08	20.54	24.05	499.05	5.37	2.29	397.07
51064984	0.08	30.22	24.09	511.71	5.34	2.29	397.07
51064984	0.09	33.77	23.87	509.57	5.39	2.28	422.21
51064984	0.06	22.48	23.84	503.21	5.41	2.29	422.21
51064984	0.1	20.54	23.85	501.13	5.58	2.29	422.01
51064984	0.11	20.87	23.8	520.45	5.32	2.31	397.07
51064984	0.05	30.87	23.77	529.45	5.33	2.37	396.82
51064984	0.14	21.83	23.73	531.73	5.26	2.28	396.87
51064984	0.11	23.12	23.64	531.73	5.52	2.72	396.82
51064984	0.08	26.03	23.62	541.06	5.38	2.29	396.92
51064984	0.07	24.09	23.61	538.7	5.49	2.52	396.97
51064984	0.08	32.8	23.75	541.06	5.36	2.55	396.77
51064984	0.08	23.45	23.72	545.83	5.49	2.32	396.82
51064984	0.04	28.93	23.79	538.7	5.32	2.65	397.02
51064984	0.06	25.7	23.95	541.06	5.35	2.39	396.87
