Day of Year, Day of Week, hour, minute,PrintCount,NO2,voltage of NO2,O3,Temperature,CO,CO2,Humidity,Temperature,Ethylene Oxide,O3,CO,CO2,Time diff to Print1,Time diff to Print2
246,4,0,0,0,45.02,0.13,51064984,23.12,455.03,2.66,6,23.6,0,0.16,5.6,396.67,8,8
246,4,0,15,0,42.83,0.14,750.42,27.64,469.59,2.57,8,23.61,0,0.05,5.38,396.82,7,8
246,4,0,30,0,39.89,0.15,1949.47,22.8,469.59,2.57,4,23.62,0,0.08,5.5,396.72,7,7
246,4,0,45,0,46.2,0.13,688.75,23.77,475.25,2.27,6,23.52,0,0.09,5.42,396.67,7,6
246,4,1,0,0,32.95,0.18,51064984,31.51,458.6,2.27,5,23.54,0,0.13,5.53,396.77,7,6
246,4,1,15,0,42.83,0.14,51064984,20.54,471.46,2.27,8,23.55,0,0.09,5.56,396.67,7,5
246,4,1,30,0,29.99,0.19,51064984,31.83,456.81,2.27,8,23.61,0,0.11,5.71,396.67,7,5
246,4,1,45,0,46.2,0.13,51064984,24.41,473.35,2.27,8,23.55,0,0.11,5.6,396.92,7,4
246,4,2,0,0,47.43,0.12,823.83,23.12,458.6,2.34,5,23.51,0,0.08,5.56,396.72,7,3
246,4,2,15,0,45.02,0.13,51064984,22.16,482.97,2.27,0,23.59,0,0.09,5.52,396.87,6,3
246,4,2,30,0,46.2,0.13,51064984,23.77,499.05,2.26,8,23.51,0,0.15,5.45,396.97,6,2
246,4,2,45,0,42.83,0.14,51064984,23.77,505.32,2.28,9,23.6,0,0.13,5.28,396.82,6,2
246,4,3,0,0,46.2,0.13,51064984,23.77,511.71,2.27,5,23.5,0,0.17,5.23,397.02,6,1
246,4,3,15,0,33.61,0.17,51064984,34.41,513.87,2.46,2,23.5,0,0.11,5.59,396.82,6,1
246,4,3,30,0,38.99,0.15,51064984,24.74,520.45,2.26,9,23.53,0,0.12,5.41,396.72,6,0
246,4,3,45,0,38.13,0.15,51064984,22.16,522.68,2.44,5,23.52,0,0.14,5.39,396.87,6,14
246,4,4,0,0,43.9,0.13,1343.36,34.09,527.17,2.29,8,23.47,0,0.14,5.41,396.67,6,13
246,4,4,15,0,45.02,0.13,51064984,24.74,481.02,2.26,2,23.55,0,0.1,5.36,396.82,6,13
246,4,4,30,0,27.47,0.21,912.7,25.7,465.88,2.27,8,23.55,0,0.13,5.58,397.07,5,12
